City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Sao Carlos,BR,2021-10-11 23:33:10,-22.0175,-47.8908,65.23,90,39,5.14,scattered clouds
170,Saint-Philippe,RE,2021-10-11 23:33:10,-21.3585,55.7679,71.22,92,84,5.77,light rain
171,Westport,US,2021-10-11 23:27:27,41.1415,-73.3579,67.8,85,40,1.99,scattered clouds
172,San Patricio,US,2021-10-11 23:30:14,28.017,-97.5169,85.05,69,90,4.25,overcast clouds
173,Portland,US,2021-10-11 23:27:40,45.5234,-122.6762,60.84,56,40,1.01,scattered clouds
174,Pacific Grove,US,2021-10-11 23:29:27,36.6177,-121.9166,70.88,68,1,5.99,clear sky
175,Alugan,PH,2021-10-11 23:33:11,12.2188,125.4808,81.21,80,100,10.04,overcast clouds
176,Killarney,IE,2021-10-11 23:33:11,52.05,-9.5167,47.73,92,49,0.65,scattered clouds
177,Askiz,RU,2021-10-11 23:33:11,53.1319,90.5264,37.17,98,100,1.07,light rain
178,Padang,ID,2021-10-11 23:33:12,-0.9492,100.3543,71.65,82,47,3.22,scattered clouds
179,Puerto Ayora,EC,2021-10-11 23:30:27,-0.7393,-90.3518,70.56,88,82,8.99,broken clouds
180,Suntar,RU,2021-10-11 23:33:12,62.1444,117.6319,25.81,58,74,13.71,broken clouds
181,Medina,SA,2021-10-11 23:33:12,24.4686,39.6142,88.23,8,0,4.61,clear sky
182,Dongtai,CN,2021-10-11 23:33:13,32.8523,120.3095,65.34,65,11,12.84,light rain
183,Lumding,IN,2021-10-11 23:33:13,25.7535,93.1732,74.59,99,30,0.78,scattered clouds
184,Fairbanks,US,2021-10-11 23:28:49,64.8378,-147.7164,44.56,64,1,11.5,clear sky
185,Esperance,AU,2021-10-11 23:33:13,-33.8667,121.9,46.24,67,95,26.78,overcast clouds
186,Dezhou,CN,2021-10-11 23:33:13,37.4486,116.2925,51.93,60,1,4.34,clear sky
187,Oranjemund,NA,2021-10-11 23:33:14,-28.55,16.4333,60.75,73,50,5.06,scattered clouds
188,Urumqi,CN,2021-10-11 23:33:14,43.801,87.6005,38.35,75,0,4.47,clear sky
189,Strezhevoy,RU,2021-10-11 23:33:14,60.7333,77.5889,28.38,71,75,4.97,broken clouds
190,Vanimo,PG,2021-10-11 23:31:20,-2.6741,141.3028,85.89,66,71,4.16,broken clouds
191,Kamaishi,JP,2021-10-11 23:33:15,39.2667,141.8833,58.15,80,100,8.43,moderate rain
192,Surt,LY,2021-10-11 23:33:15,31.2089,16.5887,73.33,63,22,10.98,few clouds
193,Jimenez,MX,2021-10-11 23:33:15,28.3333,-105.4,90.34,20,8,12.41,clear sky
194,Fortuna,US,2021-10-11 23:26:16,40.5982,-124.1573,61.2,67,1,1.01,clear sky
195,New Norfolk,AU,2021-10-11 23:30:13,-42.7826,147.0587,55.71,47,66,2.89,broken clouds
196,Awbari,LY,2021-10-11 23:33:16,26.5921,12.7805,70.59,45,32,13.98,scattered clouds
197,Torbat-E Jam,IR,2021-10-11 23:33:16,35.244,60.6225,44.13,31,0,10.67,clear sky
